pqlookup.long,pqlookup.lat,pqlookup.borough,pqlookup.location_i,pqlookup.objectid,pqlookup.shape_area,pqlookup.shape_leng,pqlookup.zone
-74.1767785471836,40.6895151478039,EWR,1,1,0.0007823067885,0.116357453189,Newark Airport
-73.826141187548,40.6257250653606,Queens,2,2,0.00486634037837,0.43346966679,Jamaica Bay
-73.8494797117996,40.8658720486048,Bronx,3,3,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens
-73.9770238531481,40.7241508237094,Manhattan,4,4,0.000111871946192,0.0435665270921,Alphabet City
-74.1899382186973,40.5503388087419,Staten Island,5,5,0.000497957489363,0.0921464898574,Arden Heights
-74.067784415989,40.5990540522727,Staten Island,6,6,0.000606460984581,0.150490542523,Arrochar/Fort Wadsworth
-73.9214822351202,40.7610941908165,Queens,7,7,0.000389787989274,0.107417171123,Astoria
-73.9231996351178,40.7786091900536,Queens,8,8,2.6587716279e-05,0.0275906911574,Astoria Park
-73.788019387688,40.7543991714348,Queens,9,9,0.000338443803197,0.0997840924705,Auburndale
-73.9655685008179,40.8020326846964,Manhattan,24,24,6.07235737749e-05,0.0469999619287,Bloomingdale
-73.7916548635917,40.678101884465,Queens,10,10,0.000435823818081,0.0998394794152,Baisley Park
-74.010614577798,40.6039781434647,Brooklyn,11,11,0.00026452053504,0.0792110389596,Bath Beach
-74.015489822631,40.7024875740507,Manhattan,12,12,4.15116236727e-05,0.0366613013579,Battery Park
-74.016119676412,40.7116120409703,Manhattan,13,13,0.000149358592917,0.0502813228631,Battery Park City
-73.8869234351293,40.8687686529423,Bronx,18,18,0.000148850163948,0.0697995498569,Bedford Park
-73.9864596713285,40.6856156764957,Brooklyn,25,25,0.000124168267356,0.0471458199319,Boerum Hill
-74.0304481021718,40.6235833928849,Brooklyn,14,14,0.00138177826442,0.175213698053,Bay Ridge
-73.7879935355271,40.7852453578963,Queens,15,15,0.000925219395547,0.14433622262,Bay Terrace/Fort Totten
-73.9942964016157,40.6096262221388,Brooklyn,22,22,0.000472062684608,0.126170229196,Bensonhurst West
-74.1593411184408,40.6074284613631,Staten Island,23,23,0.00219556576201,0.290556028962,Bloomfield/Emerson Hill
-73.7716756284112,40.7612343254115,Queens,16,16,0.000871889446182,0.141291873771,Bayside
-73.949180773692,40.6919912634499,Brooklyn,17,17,0.000322957654799,0.093522632948,Bedford
